업체명,모델명,연료,도심주행연비,고속도로연비
포르쉐,타이칸 (5인승),전기,4.7,4.4
크라이슬러,짚 랭글러 사하라 4xe,전기+휘발유,12.2,11.8
Brilliance Shineray,이티밴 미니,전기,5.8,4.8
현대,한국상용1톤롱바디EV트럭,전기,3.2,2.3
기아,"모닝 25MY 1.0가솔린 14""",휘발유,13.5,16.3
기아,"모닝 25MY 1.0가솔린 16""",휘발유,13.5,16.3
벤츠,Mercedes-Benz EQB 300 4MATIC,전기,4.3,3.9
르노코리아자동차(주),"ARKANA 1.3 (18"" tire)",휘발유,11.8,15.3
르노코리아자동차(주),"ARKANA 1.6 (16"" tire)",휘발유,12.1,15.4
현대,"GV70 FL 2.5T-GDI AWD 18""",휘발유,8.4,11.8
벤츠,Mercedes-Benz GLA 250 4MATIC ,휘발유,9.8,12.5
현대,"GV70 FL 2.5T-GDI RWD 21"" 스포츠패키지",휘발유,8.5,11.6
현대,"GV70 FL 2.5T-GDI RWD 19"" 스포츠패키지",휘발유,8.5,11.8
벤츠,Mercedes-Benz CLA 250 4MATIC,휘발유,10.5,14.4
르노코리아자동차(주),"ARKANA 1.3 (17"" tire) LRRC",휘발유,12.2,16.3
BMW,BMW X2 M35i xDrive,휘발유,8.9,12.1
기아,EV6 항속형 4WD 개조차 20인치,전기,4.9,4.2
기아,EV6 항속형 4WD 개조차 19인치,전기,5.3,4.4
기아,EV6 항속형 2WD 개조차 20인치,전기,5.5,4.3
기아,EV6 항속형 2WD 개조차 19인치(C),전기,5.8,4.5
기아,EV6 항속형 2WD 개조차 19인치(nC),전기,5.8,4.5
현대,"GV70 FL 3.5T-GDI AWD 19""",휘발유,7.5,10.2
현대,"GV70 FL 3.5T-GDI RWD 19""",휘발유,7.8,10.9
현대,"GV70 FL 3.5T-GDI AWD 21"" 스포츠패키지(썸머)",휘발유,7.3,9.8
벤츠,Mercedes-Maybach EQS 680 SUV,전기,3.5,3.5
벤츠,Mercedes-Benz EQE 350 4MATIC SUV,전기,4.3,3.9
테슬라코리아 유한회사,Model Y Long Range,전기,5.5,5
벤츠,Mercedes-Benz EQE 500 4MATIC SUV,전기,4.2,3.9
MINI,MINI Countryman S ALL4,휘발유,9.6,12.9
MINI,MINI Cooper S,휘발유,11.3,15.1
벤츠,Mercedes-AMG A 35 4MATIC,휘발유,9.3,12.3
INEOS Automotive,이네오스 그레나디어  스테이션왜건 가솔린,휘발유,5.3,5.9
포르쉐,카이엔 터보 E-하이브리드,전기+휘발유,10.6,11.9
포르쉐,카이엔 터보 E-하이브리드 Coupe,전기+휘발유,10.6,11.9
현대,아이오닉5 N-line RWD,전기,5.2,4.1
벤츠,Mercedes-Benz A 220 Sedan,휘발유,11.1,14.9
포르쉐,카이엔 S E-하이브리드 COUPE,전기+휘발유,11.1,12.3
현대,아이오닉5 N-line AWD,전기,4.8,3.9
포르쉐,카이엔 S E-하이브리드 COUPE (5인승),전기+휘발유,11.1,12.3
랜드로버,더 뉴 레인지로버 스포츠 P635 SV,휘발유,6.2,8.7
벤츠,Mercedes-Benz EQB 300 4MATIC,전기,4.3,3.9
벤츠,Mercedes Benz C 200,휘발유,10.5,14.2
벤츠,Mercedes-Benz A 220,휘발유,10.7,14.5
케이지모빌리티,토레스 밴 가솔린 1.5 AT 4WD 저공해3종,휘발유,9.3,11.4
벤츠,Mercedes-Benz CLE 200 Cabriolet,휘발유,10.4,15.1
북경현대기차유한공사,쏘나타(DN8c) 2.0 LPI 택시 17”,LPG,8.3,11.7
벤츠,Mercedes-AMG S 63 E,전기+휘발유,10.1,12.7
현대,아이오닉5 개조 항속형 AWD 19인치,전기,5.2,4.3
현대,아이오닉5 개조 항속형 AWD 20인치,전기,4.9,4
BMW,BMW M440i xDrive Convertible,휘발유,9.8,13.1
벤츠,"Mercedes-Benz CLE 450 4MATIC Cabriolet	",휘발유,9.2,13.3
BMW,BMW M440i xDrive Coupe,휘발유,10.2,13.3
BMW,BMW iX2 xDrive30,전기,4.6,4.5
벤츠,Mercedes-Benz EQA 250,전기,5.4,4.6
BMW,BMW iX2 eDrive20,전기,4.9,4.7
포르쉐,카이엔 터보 E-하이브리드 Coupe (5인승),전기+휘발유,10.6,11.9
MINI,MINI Cooper SE,전기,5.6,5
벤츠,Mercedes-AMG GLC 43 4MATIC Coupe,휘발유,7.2,10.1
케이지모빌리티,토레스 밴 가솔린 1.5 AT 2WD 저공해3종,휘발유,10.2,12.3
포르쉐,카이엔 S E-하이브리드,전기+휘발유,11.1,12.3
테슬라코리아 유한회사,Model 3 Performance,전기,5,4.6
BMW,BMW 320d Touring,경유,12.9,16.8
BMW,BMW 320d xDrive,경유,12,16.7
BMW,BMW 320d,경유,13.5,16.4
혼다,PILOT,휘발유,7.4,9.8
벤츠,"Mercedes-Benz CLE 200 Coupe	",휘발유,10.4,15.2
케이지모빌리티,토레스 EVX VAN 20인치타이어,전기,5.2,4.4
케이지모빌리티,토레스 EVX VAN 18인치타이어,전기,5.3,4.5
PSA Automobiles,Peugeot e2008,전기,5.6,4.7
BMW,BMW i5 xDrive40,전기,4.3,4.4
벤틀리,Bentayga S,휘발유,6.1,8.3
벤틀리,Bentayga S,휘발유,6.1,8.3
벤틀리,Bentayga V8,휘발유,6.1,8.3
벤틀리,Bentayga V8,휘발유,6.1,8.3
벤틀리,Bentayga V8 EWB,휘발유,6.1,8.3
현대,아이오닉5 개조 항속형 RWD 19인치(nC),전기,5.8,4.6
Brilliance Shineray,이티밴 프로,전기,6,4.7
현대,포터일렉트릭 24MY,전기,3.6,2.7
Brilliance Shineray,이티4밴 미니,전기,5.8,4.8
Brilliance Shineray,이티4밴 프로,전기,6,4.7
아우디,SQ7 TFSI,휘발유,5.9,8
현대,아이오닉5 개조 항속형 RWD 20인치,전기,5.3,4.4
크라이슬러,짚 그랜드 체로키 L,휘발유,6.7,9.4
현대,G90 e-S/C 3.5T-GDI AWD 4인 21인치_24MY,휘발유,7.2,10.1
현대,G90 e-S/C 3.5T-GDI(LWB) AWD 5인 20인치_24MY,휘발유,7.1,10
현대,G90 e-SC 3.5T-GDI(LWB) AWD 4인 20인치_24MY,휘발유,7.1,10
현대,G90 e-S/C 3.5T-GDI 2WD 5인 20인치(nC)_24MY,휘발유,7.8,11.2
현대,G90 e-S/C 3.5T-GDI 2WD 5인 20인치(C)_24MY,휘발유,7.8,11.2
