업체명,모델명,연료,도심주행연비,고속도로연비
현대,아반떼(PE) 1.6LPI 16인치 타이어,LPG,9.1,12.1
현대,아반떼(PE) 1.6LPI 17인치 타이어,LPG,9,12
토요타,렉서스 RX500h,휘발유,9.4,10.7
현대,코나(SX2) 일렉트릭(기본형) 17인치,전기,6.1,4.8
현대,코나(SX2) 일렉트릭(항속형) 17인치(빌트인캠),전기,6.1,5
토요타,토요타 CROWN Dual Boost Hybrid,휘발유,10,12.5
벤츠,Mercedes-AMG SL63 4MATIC +,휘발유,5.3,8.3
벤츠,Mercedes-AMG G63,휘발유,5,6.5
혼다,PILOT,휘발유,7.4,10
포르쉐,카이엔,휘발유,6.7,8.7
포르쉐,카이엔 COUPE,휘발유,6.7,8.7
토요타,렉서스 RX450h+,전기+휘발유,20.6,18.1
(주)대창모터스,다니고C2,전기,4.2,2.8
PSA Automobiles,DS3 E-TENSE,전기,6,5
벤틀리,Flying Spur S,휘발유,6.2,8.7
벤틀리,Flying Spur V8,휘발유,6.2,8.7
벤틀리,Flying Spur S,휘발유,6.2,8.7
포드,Ranger Raptor,경유,8.5,9.8
벤츠,Mercedes-Benz EQE500 4MATIC SUV,전기,3.9,3.6
현대,아반떼(PE) 1.6 가솔린 15인치 타이어,휘발유,13.7,17.7
현대,아반떼(PE) 1.6 가솔린 16인치 타이어(빌트인캠),휘발유,13.1,16.9
현대,아반떼(PE) 1.6 가솔린 16인치 타이어,휘발유,13.3,17
현대,아반떼(PE) 1.6 가솔린 17인치 타이어,휘발유,12.9,16.4
아우디,Q3 Sportback 40 TFSI quattro,휘발유,9.3,11.9
케이지모빌리티,코란도 e-motion 2WD Heat Pump,전기,5.3,4.3
벤틀리,Flying Spur V8,휘발유,6.2,8.7
토요타,렉서스 NX350h,휘발유,14.3,13.6
르노코리아자동차(주),QM6,LPG,7.9,9.9
GM,캐딜락 XT4,휘발유,9.3,11.8
포르쉐,카이엔 COUPE (5인승),휘발유,6.7,8.7
장조우 닛산,젤라 피이백,전기,3.7,3
토요타,토요타 Camry Hybrid LE,휘발유,18.2,17.9
현대,코나(SX2) 1.6GDI 하이브리드 17인치(빌트인캠),휘발유,19.4,18.2
현대,코나(SX2) 1.6GDI 하이브리드 18인치,휘발유,18.6,17.5
현대,코나(SX2) 1.6GDI 하이브리드 17인치,휘발유,20.8,18.6
랜드로버,디스커버리 P300,휘발유,7.3,9.2
랜드로버,디펜더 110 P300,휘발유,7.3,9.2
아우디,Q3 40 TFSI quattro,휘발유,8.8,11.7
랜드로버,디펜더 110 P300,휘발유,7.3,9.2
DongfengLiuzhou Motor,테라밴키즈11,전기,3.8,2.9
DongfengLiuzhou Motor,테라밴,전기,3.8,2.9
BMW,BMW 750e xDrive,전기+휘발유,14,16.3
아우디,SQ5 Sportback TFSI,휘발유,8,10.3
아우디,SQ5 TFSI,휘발유,7.9,10.1
토요타,토요타 RAV4 PHEV,전기+휘발유,23.1,20.2
DongfengLiuzhou Motor,테라밴키즈,전기,3.8,2.9
랜드로버,디펜더 130 P400,휘발유,6.6,8.2
BMW,BMW Z4 M40i,휘발유,9.2,11.9
BMW,BMW Z4 sDrive20i,휘발유,9.8,12.1
BMW,BMW 218d Active Tourer,경유,14.2,18.2
BMW,BMW iX M60,전기,3.3,3.5
BMW,BMW iX xDrive40,전기,3.9,3.9
벤츠,Mercedes-Benz S580 e 4MATIC,전기+휘발유,12.5,15.8
BMW,BMW XM,전기+휘발유,9.7,10.4
BMW,BMW M2,휘발유,7.4,10.1
(주)이엔플러스,이엔1톤롱바디카고,전기,3.3,2.4
(주)이엔플러스,이엔플러스EV1톤롱바디트럭,전기,3.5,2.5
PSA Automobiles,DS7 1.2 PureTech,휘발유,10.7,13.9
크라이슬러,짚 그랜드 체로키,휘발유,6.6,8.8
크라이슬러,짚 그랜드 체로키,휘발유,6.6,8.8
아우디,Q8 Sportback 55 e-tron quattro,전기,2.9,3
폭스바겐,ID.4 Pro,전기,5.3,4.5
한국지엠,트랙스 1.2터보 18인치,휘발유,11.2,14
한국지엠,트랙스 1.2터보 17인치,휘발유,11.7,14.3
토요타,렉서스 RZ450e,전기,5.8,4.9
포드,Ranger Wildtrak,경유,9.1,11.7
벤틀리,Continental GT S,휘발유,7,9.6
BMW,BMW M3 Competition Touring M xDrive,휘발유,7,9.9
랜드로버,디펜더 130 D300,경유,9.1,11.1
벤츠,Mercedes-Benz EQA250,전기,5.5,4.4
현대,코나(SX2) 2.0 가솔린 2WD 18/19인치,휘발유,11.8,14.7
현대,코나(SX2) 2.0 가솔린 2WD 17인치,휘발유,12.6,15
현대,코나(SX2) 1.6T-GDI 4WD 18/19인치,휘발유,10,13.1
현대,코나(SX2) 1.6T-GDI 4WD 17인치,휘발유,10.3,14
한국지엠,트랙스 1.2터보 19인치,휘발유,11.1,13.2
현대,코나(SX2) 1.6T-GDI 2WD 17인치,휘발유,11.5,15.5
현대,코나(SX2) 1.6T-GDI 2WD 18/19인치,휘발유,10.8,14.3
벤츠,Mercedes-Benz GLS580 4MATIC(6 Seater),휘발유,6,7.5
BMW,BMW 220i Active Tourer,휘발유,10.8,14.6
BMW,BMW X1 sDrive20i,휘발유,10.5,13.8
토요타,렉서스 RX350h,휘발유,14.3,12.7
PSA Automobiles,Peugeot 408 1.2 PureTech,휘발유,11.5,15
벤틀리,Continental GT V8,휘발유,7,9.6
PSA Automobiles,Peugeot 2008 1.5 BlueHDi,경유,15.7,19
BMW,BMW iX1 xDrive30,전기,4.2,4.1
BMW,BMW iX xDrive50,전기,3.7,3.7
BMW,BMW X1 sDrive18d,경유,13.4,16.5
토요타,토요타 RAV4 Hybrid 2WD,휘발유,17.1,15.1
벤츠,Mercedes-Maybach S680 4MATIC(5 Seats),휘발유,4.7,7.9
벤츠,Mercedes-Benz GLS580 4MATIC,휘발유,6,7.5
현대,G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD5인20인치(HDP),휘발유,7,9.9
현대,G90 e-S/C 3.5T-GDI 2WD 5인 20인치(HDP),휘발유,7.6,10.8
현대,G90 e-S/C 3.5T-GDI 2WD 5인 21인치(HDP),휘발유,7.3,10.4
현대,G90 e-S/C 3.5T-GDI AWD 5인 20인치(HDP),휘발유,7.1,10
현대,G90 e-S/C 3.5T-GDI AWD 4인 20인치(HDP),휘발유,7.1,10
현대,G90 e-S/C 3.5T-GDI AWD 5인 21인치(HDP),휘발유,7.1,10
현대,G90 3.5T-GDI 2WD 4인 19인치(HDP),휘발유,7.7,10.6
현대,G90 3.5T-GDI 2WD 5인 20인치(HDP),휘발유,7.7,10.6
현대,G90 3.5T-GDI AWD 5인 19인치(HDP),휘발유,7,9.7
현대,G90 3.5T-GDI AWD 4인 19인치(HDP),휘발유,7,9.7
현대,G90 3.5T-GDI AWD 5인 20인치(HDP),휘발유,7,9.7
벤츠,Mercedes-Maybach GLS600 4MATIC(5 Seater),휘발유,5.3,7.4
현대,G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD4인20인치(HDP),휘발유,7,9.9
현대,G90 e-S/C 3.5T-GDI 2WD 4인 20인치(HDP),휘발유,7.6,10.8
현대,G90 e-S/C 3.5T-GDI 2WD 4인 21인치(HDP),휘발유,7.3,10.4
현대,G90 e-S/C 3.5T-GDI AWD 4인 21인치(HDP),휘발유,7.1,10
현대,G90 3.5T-GDI 2WD 5인 19인치(HDP),휘발유,7.9,11.3
현대,G90 3.5T-GDI 2WD 4인 20인치(HDP),휘발유,7.7,10.6
현대,G90 3.5T-GDI AWD 4인 20인치(HDP),휘발유,7,9.7
벤츠,Mercedes-Maybach S680 4MATIC,휘발유,4.7,7.9
벤츠,Mercedes-Benz GLE450 4MATIC(5Seats),휘발유,8,9.5
벤츠,Mercedes-AMG GLE63 S 4MATIC + Coupe,휘발유,6.1,8
아우디,Q8 55 e-tron quattro,전기,3,3.1
포르쉐,카이엔 터보,휘발유,5.7,7.7
포르쉐,카이엔 터보 COUPE,휘발유,5.7,7.7
벤츠,Mercedes-Maybach GLS600 4MATIC,휘발유,5.3,7.4
랜드로버,더 뉴 레인지로버 스포츠 P360,휘발유,6.9,10.1
아우디,Q8 50 e-tron quattro,전기,3,3
BMW,BMW 740d xDrive,경유,11,15.2
Brilliance Shineray,이티4밴,전기,5.1,3.8
벤츠,Mercedes-AMG GLE53 4MATIC +(5seats),휘발유,7.3,8.8
BYD,T4K,전기,3,2.3
벤츠,Mercedes-AMG GLA45 4MATIC +,휘발유,7.6,9.7
벤츠,Mercedes-AMG GLE53 4MATIC +,휘발유,7.3,8.8
벤츠,Mercedes-Benz EQS450 +,전기,3.8,3.7
크라이슬러,짚 글래디에이터,휘발유,5.7,7
르노코리아자동차(주),XM3 하이브리드 18인치,휘발유,17.4,16.6
르노코리아자동차(주),XM3 하이브리드 17인치,휘발유,17.5,17.3
벤츠,Mercedes-Benz GLE450 4MATIC,휘발유,8,9.5
벤츠,Mercedes-AMG GLE53 4MATIC + Coupe,휘발유,7.5,9.2
크라이슬러,짚 랭글러 루비콘,휘발유,7,8.1
벤츠,Mercedes-Benz EQS580 4MATIC SUV(5seats),전기,3.6,3.4
벤츠,Mercedes-Benz EQS450 4MATIC SUV(5seats),전기,3.7,3.5
벤츠,Mercedes-Benz EQS580 4MATIC SUV,전기,3.6,3.4
벤츠,Mercedes-Benz EQS450 4MATIC SUV,전기,3.7,3.5
벤츠,Mercedes-AMG EQE53 4MATIC +,전기,3.3,3.3
벤츠,Mercedes-AMG EQS53 4MATIC +,전기,3.1,3.2
한국지엠,GMC Sierra ,휘발유,6,8.4
벤츠,Mercedes-AMG EQS53 4MATIC +,전기,3.2,3.2
현대,그랜저 1.6T-GDI 하이브리드 6AT 20인치,휘발유,15.4,15.9
현대,그랜저 1.6T-GDI 하이브리드 6AT 19인치,휘발유,16.6,16.8
현대,그랜저 1.6T-GDI 하이브리드 6AT 18인치,휘발유,18,17.9
현대,그랜저(GN7) 3.5 LPI 20인치,LPG,6.2,9.1
현대,그랜저(GN7) 3.5 LPI 19인치,LPG,6.3,9.2
현대,그랜저(GN7) 3.5 LPI 18인치,LPG,6.7,9.6
토요타,GR Supra,휘발유,9.1,12
토요타,토요타 RAV4 Hybrid AWD,휘발유,15.4,14.7
혼다,CR-V 2WD,휘발유,11.1,13.8
PSA Automobiles,Peugeot 5008 2.0 BlueHDi,경유,12.5,17.2
벤츠,Mercedes-Maybach S580 4MATIC(5Seats),휘발유,6.9,10.3
아우디,Q4 Sportback e-tron 40,전기,4.4,3.9
아우디,Q4 e-tron 40,전기,4.5,3.9
벤틀리,Bentayga S,휘발유,6.3,8.4
벤틀리,Bentayga S,휘발유,6.3,8.4
벤틀리,Bentayga V8,휘발유,6.3,8.4
롤스로이스,Rolls Royce Phantom EWB,휘발유,4.8,7.8
롤스로이스,Rolls Royce Phantom EWB,휘발유,4.8,7.8
롤스로이스,Rolls Royce Phantom,휘발유,4.8,7.8
롤스로이스,Rolls Royce Phantom,휘발유,4.8,7.8
DFSK,MASADA 3세대 2밴,전기,4.5,3.2
DFSK,MASADA 3세대 4밴,전기,4.5,3.2
벤츠,Mercedes-Maybach S580 4MATIC,휘발유,6.9,10.3
벤츠,Mercedes-Benz S580 4MATIC,휘발유,6.6,10
PSA Automobiles,Peugeot 5008 1.5 BlueHDi,경유,14.6,18.4
현대,그랜저(GN7) 2.5 GDI 20인치,휘발유,9.6,13.8
현대,그랜저(GN7) 2.5 GDI 19인치,휘발유,9.8,14.2
현대,그랜저(GN7) 2.5 GDI 18인치,휘발유,10,14.5
현대,그랜저(GN7) 3.5 GDI AWD 20인치,휘발유,7.7,11.2
현대,그랜저(GN7) 3.5 GDI AWD 19인치,휘발유,7.9,11.5
현대,그랜저(GN7) 3.5 GDI AWD 18인치,휘발유,8.2,11.7
현대,그랜저(GN7) 3.5 GDI 2WD 20인치,휘발유,8.3,12.2
현대,그랜저(GN7) 3.5 GDI 2WD 19인치,휘발유,8.5,13
현대,그랜저(GN7) 3.5 GDI 2WD 18인치,휘발유,8.7,13.4
벤츠,Mercedes-AMG CLS53 4MATIC +,휘발유,8.2,10.4
벤츠,Mercedes-AMG CLA45 S 4MATIC +,휘발유,8.1,11
벤츠,Mercedes-AMG A45 4MATIC +,휘발유,7.8,10.6
벤츠,Mercedes-AMG GT43 4MATIC +,휘발유,7.5,9.1
크라이슬러,짚 그랜드 체로키 4xe,전기+휘발유,11.4,12.9
벤츠,Mercedes-AMG GT63 S 4MATIC +,휘발유,5.9,8.2
벤츠,Mercedes-AMG GLC63 S 4MATIC + Coupe,휘발유,6,8.4
포르쉐,카이엔 터보 COUPE (5인승),휘발유,5.7,7.7
벤츠,Mercedes-AMG E53 4MATIC + Coupe,휘발유,8.3,10.7
벤츠,Mercedes-AMG E53 4MATIC +,휘발유,8.2,10.7
토요타,토요타 Camry Hybrid,휘발유,17.3,16.8
벤틀리,Bentayga V8,휘발유,6.3,8.4
아우디,Q7 50 TDI quattro,경유,9.7,13
벤츠,Mercedes-Benz C300 4MATIC,휘발유,9.9,13.4
벤츠,Mercedes-Benz C200,휘발유,10.2,14
아우디,RS Q8,휘발유,5.9,7.9
랜드로버,더 뉴 레인지로버 스포츠 D300,경유,9.1,12.6
크라이슬러,짚 그랜드 체로키 4xe,전기+휘발유,11.4,12.9
벤츠,Mercedes-Benz S450 4MATIC,휘발유,8.4,11.6
벤츠,Mercedes-Benz S500 4MATIC,휘발유,8,10.9
페라리,페라리 푸로산게,휘발유,4.5,6.1
벤츠,Mercedes-Benz EQE300,전기,4.3,4.1
벤츠,Mercedes-Benz EQE350 4MATIC,전기,4.1,3.9
마세라티,마세라티 MC20 Cielo,휘발유,6,9.1
마세라티,마세라티 그레칼레 트로페오,휘발유,7,9.6
BMW,BMW X7 M60i xDrive,휘발유,6.2,7.9
BMW,BMW X7 xDrive40i,휘발유,7.3,8.6
마세라티,마세라티 그레칼레 GT,휘발유,9,11.2
마세라티,마세라티 그레칼레 모데나,휘발유,9,10.9
PSA Automobiles,DS3 CROSSBACK E-TENSE,전기,5.2,4.5
PSA Automobiles,Peugeot e-2008 SUV,전기,5.2,4.5
PSA Automobiles,Peugeot e-208,전기,5.8,4.9
BMW,BMW X7 M60i xDrive,휘발유,6.2,7.9
BMW,BMW X7 xDrive40i,휘발유,7.3,8.6
BMW,BMW 320i,휘발유,9.9,13.5
페라리,페라리 296 GTS,전기+휘발유,9.9,12.7
PSA Automobiles,DS4 Crossback 1.5 BlueHDi,경유,15.2,18.6
PSA Automobiles,Peugeot 3008 1.5 BlueHDi,경유,14.5,17.8
BMW,BMW i7 xDrive60,전기,3.6,3.8
포르쉐,911 타르가 4 GTS,휘발유,6.8,9.2
포르쉐,911 터보 S 카브리올레,휘발유,5.9,8
람보르기니,Huracan Tecnica,휘발유,5.4,7.4
BMW,BMW 320d xDrive,경유,11.8,15.9
아우디,RS 3,휘발유,8,11.2
BMW,BMW X7 xDrive40d,경유,9.2,11.3
폭스바겐,Golf GTI,휘발유,10.1,13.9
주식회사 쎄보모빌리티,CEVO-C SE 1인승 밴형,전기,6.7,5.8
폭스바겐,Jetta,휘발유,12.3,17.1
BMW,BMW 740i,휘발유,9.7,12.2
람보르기니,URUS Performante,휘발유,5.6,7.9
아우디,Q5 Sportback 45 TFSI quattro,휘발유,9.1,12
벤츠,Mercedes-Benz CLS450 4MATIC,휘발유,8.9,11.4
BMW,BMW 320d,경유,12.9,16.9
페라리,페라리 812 Competizione A,휘발유,5.1,6.6
벤츠,Mercedes-Benz E300 d 4MATIC Coupe,경유,12.2,15.4
벤츠,Mercedes-Benz S400 d 4MATIC,경유,9.9,14
PSA Automobiles,DS7 CROSSBACK 1.2 PureTech,휘발유,10.5,13.7
람보르기니,URUS S,휘발유,5.7,7.6
BMW,BMW M340i xDrive Touring,휘발유,8.3,11.9
BMW,BMW M340i,휘발유,9.1,12.6
BMW,BMW 320i Touring,휘발유,9.5,13
랜드로버,더 뉴 레인지로버 P530 LWB (4인승),휘발유,5.6,9
르노코리아자동차(주),"QM6 2.0 LPLi (18"" Tire)",LPG,8.1,10.2
벤츠,Mercedes-Benz E450 4MATIC Cabriolet,휘발유,8.7,11.2
벤츠,Mercedes-Benz E450 4MATIC Coupe,휘발유,8.6,11.5
벤츠,Mercedes-Benz E450 4MATIC,휘발유,8.7,11.4
DFSK,MASADA 픽업,전기,4.1,2.9
아우디,A7 55 TFSI e quattro,전기+휘발유,14.6,17.2
람보르기니,URUS S,휘발유,5.7,7.6
람보르기니,URUS Performante,휘발유,5.6,7.9
GM,CHEVROLET EQUINOX AWD (MY23),휘발유,10.1,12.2
GM,CHEVROLET EQUINOX FWD (MY23),휘발유,10.6,12.7
한국지엠,트레일블레이저 1.35 TURBO AWD,휘발유,10.7,12.7
(주)대창모터스,다니고C,전기,3.8,2.5
BMW,BMW X7 xDrive40d,경유,9.2,11.3
아우디,Q7 45 TDI quattro,경유,9.6,12.2
아우디,Q7 45 TDI quattro,경유,9.6,12.2
포드,Lincoln Navigator 3.5L (8인승),휘발유,6.4,8.4
포드,Expedition 3.5L (8인승),휘발유,6.4,8.5
GM,CHEVROLET TRAVERSE AWD,휘발유,7.1,10.3
현대,아이오닉6 항속형 AWD 20인치,전기,5.2,4.4
현대,아이오닉6 항속형 AWD 18인치,전기,5.9,5.2
현대,아이오닉6 항속형 RWD 20인치,전기,5.7,4.6
현대,아이오닉6 항속형 RWD 18인치,전기,6.5,5.5
현대,아이오닉6 기본형 RWD 18인치,전기,6.8,5.5
아우디,SQ7 TFSI,휘발유,5.9,8
기아,셀토스(PE) 1.6T-GDI 2WD 16인치,휘발유,11.5,14.6
기아,셀토스(PE) 1.6T-GDI 4WD 18인치,휘발유,9.8,12.2
기아,셀토스(PE) 1.6T-GDI 4WD 16인치,휘발유,10.8,13.3
기아,셀토스(PE) 1.6T-GDI 2WD 18인치,휘발유,10.6,13.5
기아,셀토스(PE) 1.6T-GDI 2WD 16인치 (빌트인캠),휘발유,11.2,14.4
한국지엠,"트레일블레이저 1.35 TURBO FWD (18"" non-S&S)",휘발유,11.6,13.4
한국지엠,"트레일블레이저 1.35 TURBO FWD (17"" non-S&S)",휘발유,11.7,14
토요타,렉서스 ES300h,휘발유,17.1,16.5
(주)진우에스엠씨,포텐스,전기,5.4,3.8
기아,EV6 GT,전기,4.2,3.6
벤츠,Mercedes-Benz EQE350 +,전기,4.5,4.1
아우디,Q5 45 TFSI quattro,휘발유,9.5,12
아우디,RS 5 Sportback,휘발유,7.3,10
기아,셀토스(PE) 2.0 가솔린 4WD 18 인치,휘발유,10.4,12.6
기아,셀토스(PE) 2.0 가솔린 4WD 16 인치 (빌트인캠),휘발유,10.9,13.9
기아,셀토스(PE) 2.0 가솔린 4WD 16 인치,휘발유,11,13.9
기아,셀토스(PE) 2.0 가솔린 2WD 18 인치,휘발유,11.2,13.9
기아,셀토스(PE) 2.0 가솔린 2WD 16 인치,휘발유,11.8,14.4
BMW,BMW 320i,휘발유,9.9,13.5
현대,쏘나타(DN8) 1.6 T-GDI 19인치 23MY,휘발유,11.2,14.1
아우디,A8 L 60 TFSI quattro,휘발유,6.1,9.9
현대,쏘나타(DN8) 2.0CVVL_19인치타이어_23MY,휘발유,10.5,13.5
포드,Expedition 3.5L,휘발유,6.4,8.5
Brilliance Shineray,이티밴,전기,5.1,3.8
포드,Lincoln Navigator 3.5L,휘발유,6.4,8.4
르노코리아자동차(주),"SM6 1.3 (17"" Tire)",휘발유,12.1,16
르노코리아자동차(주),"SM6 2.0 LPLi New (17"" Tire)",LPG,8.5,11
PSA Automobiles,DS4 Crossback 1.5 BlueHDi,경유,14.9,18.1
폭스바겐,ID.4 Pro,전기,4.9,4.4
현대,투싼 1.6T-GDI HEV 6AT 4WD 17/18인치,휘발유,16,14.6
현대,투싼 1.6T-GDI HEV 6AT 4WD 19인치,휘발유,15.6,14.6
현대,투싼 1.6T-GDI HEV 6AT 4WD 17/18인치 빌트인캠,휘발유,15.2,14.6
현대,투싼 1.6T-GDI HEV 6AT 4WD 19인치 빌트인캠,휘발유,14.9,14.5
BMW,BMW 330e,전기+휘발유,14.5,17.4
기아,스포티지 2.0 LPI 19인치,LPG,8.1,10.2
기아,스포티지 2.0 LPI 19인치(빌트인캠),LPG,8,9.9
기아,스포티지 2.0 LPI 18인치,LPG,8.2,10.3
기아,스포티지 2.0 LPI 18인치(빌트인캠),LPG,8.1,10
기아,스포티지 2.0 LPI 17인치,LPG,8.2,10.6
BMW,BMW 320e,전기+휘발유,14.5,17.5
벤츠,Mercedes-AMG G63,휘발유,5.4,6.5
BMW,BMW 320d Touring,경유,12.8,16.4
BMW,BMW 320d xDrive,경유,12,15.8
BMW,BMW 320d,경유,13.8,16.9
현대,G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌)_SP,휘발유,8.4,10.8
현대,G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머)_SP,휘발유,8.3,10.5
현대,G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌)_SP,휘발유,9.1,11.9
현대,G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머)_SP,휘발유,8.9,11.4
아우디,A4 45 TFSI quattro,휘발유,9.5,12.3
포드,Mustang GT 5.0 Coupe,휘발유,6.2,10.1
포드,Mustang GT 5.0 Convertible,휘발유,6.2,10.1
현대,G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌),휘발유,8.4,10.8
현대,G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머),휘발유,8.3,10.5
현대,G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌),휘발유,9.1,11.9
현대,G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머),휘발유,8.9,11.4
현대,G70 슈팅브레이크 2.0T-GDI AWD 18인치타이어,휘발유,8.7,11.3
현대,G70 슈팅브레이크 2.0T-GDI AWD 18인치(빌트인캠),휘발유,8.6,11
현대,G70 슈팅브레이크 2.0T-GDI 2WD 18인치타이어,휘발유,9.2,12.2
케이지모빌리티,토레스 가솔린 1.5 AT 4WD 저공해3종 18인치 타이어,휘발유,9.3,11.4
케이지모빌리티,토레스 가솔린 1.5 AT 2WD 저공해3종 18인치 타이어,휘발유,10.2,12.4
케이지모빌리티,토레스 가솔린 1.5 AT 2WD 저공해3종 17인치 타이어,휘발유,10.2,12.5
현대,G70 슈팅브레이크2.0T-GDI 2WD 18인치(빌트인캠),휘발유,9,12.1
아우디,Q4 e-tron 40,전기,4.6,4
아우디,A5 Cabriolet 45 TFSI quattro,휘발유,9.5,12.5
기아,봉고 1톤 일반덤프 4X4장축 킹캡(MT)(22),경유,8.2,9.5
벤츠,Mercedes-Benz GLS580 4MATIC,휘발유,5.7,6.4
포르쉐,파나메라 터보 S E-하이브리드 (5인승),전기+휘발유,9.6,11.7
크라이슬러,짚 레니게이드 1.3 AWD,휘발유,8.4,10.8
벤츠,Mercedes-Maybach GLS600 4MATIC (5 seater),휘발유,5.5,7.2
아우디,A5 Coupe 45 TFSI quattro,휘발유,9.6,13
아우디,A5 Sportback 45 TFSI quattro,휘발유,9.7,13.7
아우디,S8 L TFSI,휘발유,6.4,9.8
아우디,A8 L 60 TFSI quattro,휘발유,6.1,9.9
현대,팰리세이드(PE) 2.2 디젤 AWD 7인 20인치,경유,10.4,12.8
현대,팰리세이드(PE) 2.2 디젤 AWD 7인 18인치,경유,10.7,13.2
현대,팰리세이드(PE) 2.2 디젤 2WD 7인 20인치,경유,11,13.5
현대,팰리세이드(PE) 2.2 디젤 2WD 7인 18인치,경유,11.3,14.1
현대,팰리세이드(PE) 2.2 디젤 2WD 7인 18인치(빌트인캠),경유,11,13.9
현대,팰리세이드(PE) 2.2 디젤 2WD 8인 18인치(빌트인캠),경유,11,13.9
현대,팰리세이드(PE) 2.2 디젤 2WD 8인 18인치,경유,11.3,14.1
현대,팰리세이드(PE) 2.2 디젤 2WD 8인 20인치,경유,11,13.5
벤츠,"Mercedes-AMG GLE63 S 4MATIC+ Coupe						",휘발유,5.8,7.5
현대,팰리세이드(PE) 2.2 디젤 AWD 8인 18인치,경유,10.7,13.2
현대,팰리세이드(PE) 2.2 디젤 AWD 8인 20인치,경유,10.4,12.8
벤츠,Mercedes-Benz E220 d 4MATIC,경유,12.7,15
포르쉐,파나메라 터보 S E-하이브리드,전기+휘발유,9.6,11.7
르노코리아자동차(주),"QM6 New 2.0 (18"" Tire)",휘발유,11.1,13.5
벤츠,Mercedes-Maybach GLS600 4MATIC,휘발유,5.5,7.2
벤츠,Mercedes-Benz EQS450 4MATIC,전기,3.5,3.6
현대,팰리세이드(PE) 3.8GDI AWD 7인 20인치,휘발유,7.6,10
현대,팰리세이드(PE) 3.8GDI AWD 7인 18인치,휘발유,7.7,10.3
현대,팰리세이드(PE) 3.8GDI 2WD 7인 20인치,휘발유,8,10.7
현대,팰리세이드(PE) 3.8GDI 2WD 7인 18인치,휘발유,8.3,10.9
현대,팰리세이드(PE) 3.8GDI AWD 8인 20인치,휘발유,7.6,10
현대,팰리세이드(PE) 3.8GDI AWD 8인 18인치,휘발유,7.7,10.3
현대,팰리세이드(PE) 3.8GDI 2WD 8인 20인치,휘발유,8,10.7
현대,팰리세이드(PE) 3.8GDI 2WD 8인 18인치,휘발유,8.3,10.9
아우디,"A4 40 TFSI	",휘발유,11.5,15.5
아우디,A5 Sportback 40 TFSI quattro,휘발유,10.6,14.5
랜드로버,더 뉴 레인지로버 P530 SWB (5인승),휘발유,5.6,9
랜드로버,더 뉴 레인지로버 P530 LWB (5인승),휘발유,5.6,9
랜드로버,더 뉴 레인지로버 P530 LWB (7인승),휘발유,5.6,9
벤츠,Mercedes-Benz EQB300 4MATIC (5 Seater),전기,4.4,3.8
DFSK,MASADA 4밴,전기,4.5,3.2
아우디,A6 45 TFSI,휘발유,9.7,13.1
아우디,A6 45 TFSI quattro,휘발유,9.5,12.8
PSA Automobiles,Peugeot 2008 1.5 BlueHDi,경유,15.7,19
PSA Automobiles,Peugeot 3008 1.2 Puretech,휘발유,11.1,13.8
PSA Automobiles,Peugeot 5008 1.2 Puretech,휘발유,10.8,14.2
아우디,Q8 55 TFSI quattro,휘발유,7.4,9.4
아우디,Q7 55 TFSI quattro,휘발유,7.2,9.5
Liaoning Lingyuan Linghe,비바,전기,5,4.2
포르쉐,718 카이맨 GT4,휘발유,6.7,8.9
Liaoning Lingyuan Linghe,브라보,전기,4.7,3.6
현대,아반떼 1.6 T-GDI 6MT 18인치 타이어(22MY),휘발유,11.1,14
현대,아반떼 1.6 T-GDI 7DCT 18인치 타이어(22MY),휘발유,11.5,14.7
현대,아반떼 1.6GDI 하이브리드 (17“타이어)(22MY),휘발유,20.3,18.6
현대,아반떼 1.6GDI 하이브리드 (16“타이어)(22MY),휘발유,21.4,20.7
현대,아반떼 1.6 LPI 15인치 타이어(22MY),LPG,9.4,12.5
현대,아반떼 1.6 가솔린 16인치 타이어(22MY),휘발유,13.3,17.3
현대,아반떼 1.6 가솔린 15인치 타이어(22MY),휘발유,13.8,17.7
아우디,Q4 Sportback e-tron 40,전기,4.4,3.9
크라이슬러,짚 레니게이드 1.3 FWD,휘발유,9.2,12.3
크라이슬러,짚 그랜드 체로키,휘발유,6.6,8.8
벤츠,Mercedes-Benz EQB300 4MATIC,전기,4.4,3.8
포드,Explorer 3.3 FHEV,휘발유,10.1,10.8
아우디,S5 Coupe TFSI,휘발유,8.6,12.1
포드,Mustang GT 5.0 Convertible,휘발유,6.2,10.1
토요타,토요타 GR86,휘발유,8.2,11.9
아우디,S4 TFSI,휘발유,8.4,11.6
기아,니로 EV 17인치,전기,5.9,4.8
장조우 닛산,젤라,전기,2.9,2.3
PSA Automobiles,DS7 CROSSBACK 1.2 PureTech,휘발유,10.5,13.7
